,"2016","2016","2016"
,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)","Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)","Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)"
,"18+  years","18+  years","18+  years"
"Ecuador","54.9 [49.5-60.2]","51.4 [43.4-59.5]","58.3 [51.2-65.3]"
"Egypt","61.9 [57.6-66.2]","55.6 [49.3-62.2]","68.1 [62.7-73.5]"
"El Salvador","56.8 [52.0-61.5]","53.0 [45.6-60.2]","60.0 [53.6-66.2]"
"Equatorial Guinea","25.1 [19.8-30.6]","18.0 [11.4-25.5]","32.8 [25.1-40.7]"
"Eritrea","19.2 [15.5-23.0]","13.2 [8.8-18.6]","24.8 [19.5-30.8]"
"Estonia","60.4 [55.8-64.9]","62.8 [56.5-68.9]","58.4 [52.0-64.8]"
"Eswatini","33.0 [28.4-37.8]","18.8 [13.5-25.0]","46.5 [39.5-53.8]"
"Ethiopia","18.1 [14.6-21.8]","11.8 [7.6-16.6]","24.3 [18.8-29.9]"
"Fiji","63.4 [57.9-68.8]","59.4 [50.8-67.4]","67.5 [60.2-74.7]"
"Finland","62.5 [58.7-66.3]","69.3 [64.0-74.3]","56.1 [50.5-61.5]"
"France","62.9 [58.4-67.2]","70.0 [63.7-75.8]","56.5 [49.8-62.8]"
"Gabon","36.9 [30.7-43.2]","31.0 [22.0-40.5]","42.8 [34.7-51.1]"
"Gambia","27.9 [23.7-32.4]","21.6 [16.0-28.1]","33.9 [27.9-40.4]"
"Georgia","57.2 [52.1-62.2]","56.6 [49.3-63.8]","57.7 [50.6-64.5]"
"Germany","62.8 [58.7-66.7]","69.7 [63.7-75.2]","56.2 [50.6-62.0]"
"Ghana","29.3 [25.5-33.2]","20.3 [15.5-25.8]","37.9 [32.2-43.6]"
"Greece","67.1 [62.5-71.4]","72.4 [66.0-78.2]","62.0 [55.2-68.4]"
"Grenada","49.4 [43.9-55.1]","41.9 [33.8-50.5]","56.7 [49.1-64.2]"
"Guatemala","51.4 [46.6-56.1]","46.5 [39.2-53.6]","55.7 [49.3-61.8]"
"Guinea","23.8 [20.0-28.0]","16.9 [12.1-22.7]","30.6 [25.0-36.6]"
"Guinea-Bissau","26.9 [22.6-31.5]","20.2 [14.4-27.0]","33.5 [27.3-40.0]"
"Guyana","47.5 [41.9-53.4]","39.9 [32.1-48.4]","54.9 [46.9-62.7]"
"Haiti","51.1 [45.9-56.1]","47.7 [39.7-55.4]","54.2 [47.5-61.0]"
"Honduras","51.9 [47.0-56.8]","48.0 [40.5-55.5]","55.7 [49.2-62.1]"
"Hungary","65.4 [60.8-70.1]","72.8 [66.6-78.5]","59.0 [51.9-65.8]"
"Iceland","61.5 [57.3-65.5]","69.6 [64.1-75.0]","53.3 [47.1-59.2]"
"India","19.3 [16.5-22.3]","17.5 [13.7-22.0]","21.1 [17.3-25.3]"
"Indonesia","28.3 [24.4-32.3]","25.3 [19.8-31.0]","31.2 [25.9-37.0]"
"Iran (Islamic Republic of)","60.9 [57.2-64.6]","57.1 [51.9-62.6]","64.6 [59.6-69.5]"
"Iraq","59.8 [55.4-64.2]","56.2 [49.9-62.5]","63.4 [57.3-69.3]"
"Ireland","63.6 [59.2-67.7]","69.0 [62.8-74.8]","58.3 [52.2-64.3]"
"Israel","65.3 [60.8-69.6]","71.4 [65.3-76.9]","59.5 [52.9-65.7]"
"Italy","64.1 [60.1-68.2]","70.1 [64.2-75.5]","58.6 [52.7-64.5]"
"Jamaica","55.0 [50.0-59.9]","46.6 [38.9-53.9]","62.9 [56.2-69.2]"
"Japan","29.4 [26.0-32.8]","34.0 [28.8-39.3]","25.1 [20.8-29.6]"
"Jordan","66.5 [62.7-70.3]","64.2 [58.4-70.0]","68.8 [63.6-73.8]"
"Kazakhstan","53.9 [49.2-58.8]","54.1 [46.9-61.1]","53.8 [47.3-60.3]"
"Kenya","22.6 [18.9-26.4]","14.5 [9.9-19.7]","30.5 [25.1-36.1]"
"Kiribati","78.0 [73.9-81.9]","75.7 [69.4-81.5]","80.4 [74.9-85.3]"
"Kuwait","72.1 [68.1-76.0]","71.6 [66.1-77.1]","72.8 [67.4-77.9]"
"Kyrgyzstan","45.8 [40.3-51.2]","45.0 [36.9-52.9]","46.6 [39.7-53.9]"
"Lao People's Democratic Republic","22.6 [18.9-26.6]","20.2 [15.0-26.0]","24.9 [19.7-30.7]"
"Latvia","61.7 [56.3-66.8]","63.7 [56.0-70.8]","60.1 [52.3-67.6]"
"Lebanon","66.9 [62.5-71.0]","66.8 [60.5-72.8]","66.9 [60.9-72.6]"
"Lesotho","33.2 [28.9-37.7]","17.9 [12.7-23.5]","47.9 [41.3-54.8]"
"Liberia","27.8 [24.0-32.1]","21.1 [15.6-27.1]","34.6 [28.8-40.6]"
"Libya","65.7 [61.1-69.9]","62.5 [55.8-69.0]","68.7 [62.5-74.4]"
"Lithuania","62.9 [57.8-67.6]","64.8 [57.8-71.4]","61.3 [54.2-68.2]"
"Luxembourg","61.7 [57.2-66.2]","69.6 [63.4-75.4]","54.0 [47.3-60.5]"
"Madagascar","21.1 [17.3-25.1]","16.0 [11.0-21.9]","26.1 [20.7-31.9]"
"Malawi","20.1 [16.6-23.8]","12.8 [8.5-18.0]","27.3 [22.0-32.8]"
"Malaysia","41.7 [37.3-46.2]","41.3 [35.0-47.8]","42.1 [36.1-48.4]"
"Maldives","28.5 [24.4-33.2]","25.3 [19.3-31.8]","31.8 [25.9-38.2]"
"Mali","24.4 [20.6-28.5]","17.9 [12.8-23.8]","30.9 [25.3-36.8]"
"Malta","70.0 [65.3-74.3]","76.2 [70.2-81.5]","63.9 [56.6-70.6]"
"Marshall Islands","82.7 [79.1-86.0]","81.1 [75.7-85.9]","84.3 [79.5-88.5]"
"Mauritania","31.5 [26.9-36.4]","24.0 [17.8-31.0]","39.0 [32.6-45.7]"
"Mauritius","33.8 [29.0-38.9]","25.4 [18.6-32.8]","41.9 [35.5-48.8]"
"Mexico","64.1 [60.3-67.8]","62.3 [56.7-67.9]","65.7 [60.5-70.8]"
"Micronesia (Federated States of)","70.1 [65.3-74.6]","65.6 [58.5-72.3]","74.7 [68.5-80.3]"
"Monaco","No data","No data","No data"
"Mongolia","53.9 [49.0-58.7]","53.9 [46.6-60.8]","54.0 [47.1-60.9]"
"Montenegro","62.3 [57.3-67.1]","68.7 [61.6-75.1]","56.2 [48.9-63.3]"
"Morocco","59.5 [54.6-64.1]","55.2 [48.1-62.4]","63.5 [57.1-69.5]"
"Mozambique","23.1 [19.4-27.0]","15.6 [11.0-21.0]","29.9 [24.6-35.7]"
"Myanmar","24.6 [20.8-28.6]","21.3 [16.0-27.2]","27.7 [22.6-33.3]"
"Namibia","36.6 [32.0-41.4]","24.4 [18.1-31.2]","47.6 [40.9-54.5]"
"Nauru","87.9 [85.0-90.5]","87.6 [83.3-91.4]","88.3 [84.0-91.8]"
"Nepal","19.6 [16.3-23.3]","18.1 [13.3-23.5]","21.0 [16.5-26.0]"
"Netherlands","62.6 [58.6-66.4]","69.3 [63.4-74.6]","56.1 [50.4-61.6]"
"New Zealand","68.0 [64.7-71.1]","72.7 [68.3-77.0]","63.5 [58.9-68.2]"
"Nicaragua","54.8 [50.0-59.5]","51.3 [44.0-58.7]","58.2 [51.9-64.1]"
"Niger","19.7 [16.1-23.7]","13.4 [9.0-19.0]","25.9 [20.6-31.6]"
"Nigeria","26.0 [22.5-29.9]","19.7 [14.9-24.8]","32.6 [27.5-38.0]"
"Niue","79.1 [75.0-82.8]","76.5 [70.2-82.1]","81.8 [76.6-86.3]"
"Norway","61.7 [57.6-65.6]","68.0 [62.2-73.4]","55.5 [49.6-61.2]"
"Oman","56.0 [50.9-61.3]","54.0 [47.4-60.9]","60.8 [54.1-67.1]"
"Pakistan","26.2 [22.1-30.7]","23.9 [18.0-30.4]","28.6 [23.1-34.8]"
"Palau","84.4 [80.9-87.5]","83.4 [78.4-87.9]","85.3 [80.5-89.5]"
"Panama","58.5 [53.6-63.1]","55.8 [48.3-62.8]","61.2 [54.6-67.4]"
"Papua New Guinea","49.3 [43.1-55.6]","44.2 [35.0-53.3]","54.6 [45.9-63.2]"
"Paraguay","50.9 [45.2-56.5]","51.2 [43.1-59.2]","50.7 [43.0-58.2]"
"Peru","56.3 [52.0-60.4]","53.5 [47.2-59.7]","59.0 [53.1-64.8]"
"Philippines","26.1 [22.2-30.3]","24.7 [19.1-30.9]","27.4 [22.2-33.1]"
"Poland","62.4 [58.4-66.4]","68.8 [63.2-74.0]","56.7 [51.0-62.3]"
"Portugal","62.3 [57.6-66.8]","67.3 [60.7-73.5]","57.6 [51.0-64.0]"
"Qatar","70.3 [65.2-75.3]","70.1 [63.8-76.0]","71.3 [65.0-77.3]"
"Republic of Korea","32.1 [29.0-35.4]","35.5 [30.8-40.3]","28.9 [24.7-33.3]"
"Republic of Moldova","54.1 [48.7-59.8]","55.0 [46.9-63.0]","53.4 [45.9-60.6]"
"North Macedonia","60.9 [55.8-65.8]","67.4 [60.4-73.9]","54.6 [47.2-61.6]"
"Romania","61.4 [56.9-65.8]","67.6 [61.0-73.7]","55.8 [49.1-62.2]"
