,"2016","2016","2016"
,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)","Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)","Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)"
"Country","Both sexes","Male","Female"
"Ecuador","19.3 [14.9-24.3]","14.4 [8.9-21.2]","24.1 [17.3-31.6]"
"Egypt","31.1 [26.7-35.5]","22.0 [16.3-28.1]","40.0 [33.6-46.5]"
"El Salvador","22.7 [18.0-27.7]","17.1 [10.8-24.3]","27.4 [20.5-34.7]"
"Equatorial Guinea","7.4 [4.6-10.8]","3.6 [1.4-7.3]","11.4 [6.7-17.3]"
"Eritrea","4.1 [2.6-6.0]","1.8 [0.8-3.4]","6.3 [3.8-9.7]"
"Estonia","23.8 [19.8-28.1]","21.9 [16.7-27.6]","25.3 [19.6-31.4]"
"Eswatini","13.5 [10.0-17.5]","4.4 [2.2-7.5]","22.2 [15.7-29.3]"
"Ethiopia","3.6 [2.3-5.2]","1.6 [0.7-3.1]","5.6 [3.3-8.6]"
"Fiji","30.0 [24.4-35.9]","24.9 [17.3-33.1]","35.3 [27.1-43.5]"
"Finland","24.9 [21.2-28.7]","25.7 [20.4-31.3]","24.2 [19.1-29.3]"
"France","23.2 [18.8-27.8]","23.5 [17.2-30.2]","23.0 [17.0-29.5]"
"Gabon","13.4 [9.5-18.1]","8.6 [4.1-14.9]","18.2 [12.1-25.8]"
"Gambia","8.7 [6.3-11.6]","4.8 [2.5-8.1]","12.4 [8.3-17.2]"
"Georgia","23.3 [18.4-28.5]","20.0 [13.6-27.4]","26.0 [19.0-33.6]"
"Germany","25.7 [21.9-29.8]","26.6 [21.1-32.6]","24.9 [19.8-30.4]"
"Ghana","9.7 [7.5-12.2]","4.1 [2.3-6.4]","15.0 [11.1-19.5]"
"Greece","27.4 [22.5-32.7]","26.0 [18.8-33.5]","28.7 [21.5-36.4]"
"Grenada","20.2 [15.4-25.5]","12.6 [7.5-19.2]","27.6 [19.7-36.0]"
"Guatemala","18.8 [14.9-23.2]","13.1 [8.2-19.1]","23.8 [17.9-30.4]"
"Guinea","6.6 [4.6-8.9]","3.3 [1.6-5.7]","9.9 [6.5-14.1]"
"Guinea-Bissau","8.2 [5.7-11.3]","4.5 [2.2-7.9]","11.8 [7.7-17.1]"
"Guyana","19.2 [14.5-24.4]","12.2 [7.2-18.7]","26.1 [18.5-34.3]"
"Haiti","20.5 [16.0-25.6]","16.4 [10.2-24.1]","24.3 [18.0-31.2]"
"Honduras","19.4 [15.1-24.1]","14.1 [8.8-20.7]","24.5 [18.3-31.6]"
"Hungary","28.6 [23.5-34.0]","29.9 [22.7-37.6]","27.5 [20.3-35.6]"
"Iceland","23.1 [19.1-27.4]","25.3 [19.3-31.8]","20.9 [15.7-26.5]"
"India","3.8 [2.9-4.9]","2.7 [1.7-4.0]","4.9 [3.5-6.7]"
"Indonesia","6.9 [5.1-9.1]","4.9 [2.9-7.6]","9.0 [5.9-12.6]"
"Iran (Islamic Republic of)","25.5 [22.2-28.9]","19.1 [14.9-23.5]","31.8 [26.8-37.1]"
"Iraq","27.4 [22.7-32.4]","21.0 [15.1-27.7]","33.8 [26.5-41.3]"
"Ireland","26.9 [22.3-31.7]","26.5 [19.9-33.4]","27.3 [21.2-33.8]"
"Israel","26.7 [21.9-31.6]","26.1 [19.2-33.3]","27.2 [20.6-34.3]"
"Italy","22.9 [19.3-26.8]","22.5 [17.4-27.9]","23.3 [18.2-28.9]"
"Jamaica","24.4 [19.9-29.2]","15.0 [9.9-21.2]","33.2 [25.9-40.5]"
"Japan","4.4 [3.3-5.7]","4.6 [3.0-6.6]","4.1 [2.8-5.8]"
"Jordan","33.4 [29.0-37.9]","26.6 [20.5-33.0]","40.4 [34.1-46.7]"
"Kazakhstan","21.3 [17.1-25.7]","18.8 [13.1-25.5]","23.4 [17.6-29.7]"
"Kenya","6.0 [4.3-8.2]","2.5 [1.2-4.5]","9.4 [6.3-13.3]"
"Kiribati","45.6 [39.4-51.6]","41.2 [32.3-50.4]","50.0 [41.6-58.5]"
"Kuwait","37.0 [32.2-42.0]","33.0 [26.6-39.6]","43.9 [37.1-50.7]"
"Kyrgyzstan","15.4 [11.5-19.9]","13.1 [7.8-19.8]","17.5 [12.1-23.7]"
"Lao People's Democratic Republic","4.5 [3.0-6.4]","3.2 [1.7-5.6]","5.7 [3.3-8.9]"
"Latvia","25.7 [19.9-31.7]","22.9 [15.5-31.2]","28.0 [19.5-36.5]"
"Lebanon","31.3 [26.2-36.6]","27.4 [20.2-35.0]","35.3 [28.0-43.1]"
"Lesotho","13.5 [10.3-16.9]","3.7 [1.9-6.2]","22.8 [17.0-29.2]"
"Liberia","8.6 [6.2-11.4]","4.9 [2.6-8.1]","12.3 [8.3-17.0]"
"Libya","31.8 [26.5-37.4]","24.5 [17.7-32.1]","38.7 [30.5-46.7]"
"Lithuania","28.4 [23.2-33.8]","25.3 [18.4-33.1]","30.9 [23.1-38.6]"
"Luxembourg","24.2 [19.4-29.4]","26.0 [18.7-34.0]","22.4 [16.0-29.6]"
"Madagascar","4.5 [2.9-6.4]","2.6 [1.2-4.8]","6.3 [3.7-9.5]"
"Malawi","4.7 [3.2-6.5]","1.9 [0.8-3.6]","7.5 [4.8-10.7]"
"Malaysia","15.3 [12.3-18.7]","12.9 [9.1-17.5]","17.6 [13.3-22.6]"
"Maldives","7.9 [5.5-10.8]","5.4 [3.0-9.0]","10.3 [6.6-15.2]"
"Mali","7.1 [5.1-9.6]","3.9 [2.0-6.8]","10.4 [6.9-14.4]"
"Malta","31.0 [25.1-37.0]","30.9 [22.7-39.4]","31.2 [22.7-39.8]"
"Marshall Islands","52.4 [46.2-58.6]","47.9 [38.8-56.8]","56.9 [48.7-65.2]"
"Mauritania","11.3 [8.3-14.9]","6.0 [3.2-9.9]","16.6 [11.3-22.8]"
"Mauritius","11.5 [8.4-15.2]","5.9 [3.1-10.0]","16.8 [11.7-23.2]"
"Mexico","28.4 [24.7-32.3]","23.7 [18.5-29.1]","32.6 [27.2-38.3]"
"Micronesia (Federated States of)","41.6 [35.5-47.6]","36.1 [27.6-45.1]","47.3 [39.2-55.6]"
"Monaco","No data","No data","No data"
"Mongolia","19.6 [15.6-23.9]","16.7 [11.4-22.8]","22.4 [16.4-28.8]"
"Montenegro","24.9 [19.2-30.7]","24.5 [16.5-32.8]","25.2 [17.5-33.3]"
"Morocco","25.6 [20.7-30.9]","19.0 [12.7-26.3]","31.9 [24.6-39.5]"
"Mozambique","6.0 [4.1-8.2]","2.8 [1.3-5.0]","8.9 [5.8-12.8]"
"Myanmar","5.7 [4.0-7.8]","4.0 [2.2-6.6]","7.3 [4.6-10.5]"
"Namibia","15.0 [11.5-18.7]","6.5 [3.6-10.5]","22.7 [17.0-29.0]"
"Nauru","60.7 [55.0-66.3]","58.5 [50.4-66.3]","63.0 [55.1-70.5]"
