Country,Year,Causes,Both sexes
Eritrea,2016,Cardiovascular diseases,6617
Eritrea,2016,Chronic obstructive pulmonary disease,1020
Estonia,2016,Malignant neoplasms,3959
Estonia,2016,Diabetes mellitus,152
Estonia,2016,Cardiovascular diseases,7840
Estonia,2016,Chronic obstructive pulmonary disease,345
Eswatini,2016,Malignant neoplasms,742
Eswatini,2016,Diabetes mellitus,739
Eswatini,2016,Cardiovascular diseases,1648
Eswatini,2016,Chronic obstructive pulmonary disease,402
Ethiopia,2016,Malignant neoplasms,50913
Ethiopia,2016,Diabetes mellitus,13028
Ethiopia,2016,Cardiovascular diseases,109500
Ethiopia,2016,Chronic obstructive pulmonary disease,15460
Fiji,2016,Malignant neoplasms,613
Fiji,2016,Diabetes mellitus,1440
Fiji,2016,Cardiovascular diseases,2183
Fiji,2016,Chronic obstructive pulmonary disease,336
Finland,2016,Malignant neoplasms,12374
Finland,2016,Diabetes mellitus,510
Finland,2016,Cardiovascular diseases,19060
Finland,2016,Chronic obstructive pulmonary disease,1742
France,2016,Malignant neoplasms,173396
France,2016,Diabetes mellitus,12375
France,2016,Cardiovascular diseases,143401
France,2016,Chronic obstructive pulmonary disease,31072
Gabon,2016,Malignant neoplasms,757
Gabon,2016,Diabetes mellitus,394
Gabon,2016,Cardiovascular diseases,2518
Gabon,2016,Chronic obstructive pulmonary disease,311
Gambia,2016,Malignant neoplasms,587
Gambia,2016,Diabetes mellitus,202
Gambia,2016,Cardiovascular diseases,2259
Gambia,2016,Chronic obstructive pulmonary disease,352
Georgia,2016,Malignant neoplasms,7040
Georgia,2016,Diabetes mellitus,1329
Georgia,2016,Cardiovascular diseases,36308
Georgia,2016,Chronic obstructive pulmonary disease,2190
Germany,2016,Malignant neoplasms,235379
Germany,2016,Diabetes mellitus,24764
Germany,2016,Cardiovascular diseases,343531
Germany,2016,Chronic obstructive pulmonary disease,58839
Ghana,2016,Malignant neoplasms,11923
Ghana,2016,Diabetes mellitus,5693
Ghana,2016,Cardiovascular diseases,42231
Ghana,2016,Chronic obstructive pulmonary disease,4887
Greece,2016,Malignant neoplasms,31408
Greece,2016,Diabetes mellitus,1769
Greece,2016,Cardiovascular diseases,46098
Greece,2016,Chronic obstructive pulmonary disease,10499
Grenada,2016,Malignant neoplasms,155
Grenada,2016,Diabetes mellitus,82
Grenada,2016,Cardiovascular diseases,248
Grenada,2016,Chronic obstructive pulmonary disease,20
Guatemala,2016,Malignant neoplasms,7993
Guatemala,2016,Diabetes mellitus,6628
Guatemala,2016,Cardiovascular diseases,13841
Guatemala,2016,Chronic obstructive pulmonary disease,2756
Guinea,2016,Malignant neoplasms,4921
Guinea,2016,Diabetes mellitus,2105
Guinea,2016,Cardiovascular diseases,17388
Guinea,2016,Chronic obstructive pulmonary disease,3004
Guinea-Bissau,2016,Malignant neoplasms,719
Guinea-Bissau,2016,Diabetes mellitus,258
Guinea-Bissau,2016,Cardiovascular diseases,2080
Guinea-Bissau,2016,Chronic obstructive pulmonary disease,325
Guyana,2016,Malignant neoplasms,548
Guyana,2016,Diabetes mellitus,546
Guyana,2016,Cardiovascular diseases,2258
Guyana,2016,Chronic obstructive pulmonary disease,191
Haiti,2016,Malignant neoplasms,6824
Haiti,2016,Diabetes mellitus,3994
Haiti,2016,Cardiovascular diseases,26617
Haiti,2016,Chronic obstructive pulmonary disease,3143
Honduras,2016,Malignant neoplasms,5502
Honduras,2016,Diabetes mellitus,842
Honduras,2016,Cardiovascular diseases,9886
Honduras,2016,Chronic obstructive pulmonary disease,1678
Hungary,2016,Malignant neoplasms,33009
Hungary,2016,Diabetes mellitus,2789
Hungary,2016,Cardiovascular diseases,61463
Hungary,2016,Chronic obstructive pulmonary disease,6538
Iceland,2016,Malignant neoplasms,654
Iceland,2016,Diabetes mellitus,28
Iceland,2016,Cardiovascular diseases,714
Iceland,2016,Chronic obstructive pulmonary disease,145
India,2016,Malignant neoplasms,815148
India,2016,Diabetes mellitus,308985
India,2016,Cardiovascular diseases,2590089
India,2016,Chronic obstructive pulmonary disease,1017179
Indonesia,2016,Malignant neoplasms,216307
Indonesia,2016,Diabetes mellitus,102800
Indonesia,2016,Cardiovascular diseases,655055
Indonesia,2016,Chronic obstructive pulmonary disease,103704
Iran (Islamic Republic of),2016,Malignant neoplasms,59741
Iran (Islamic Republic of),2016,Diabetes mellitus,14842
Iran (Islamic Republic of),2016,Cardiovascular diseases,160823
Iran (Islamic Republic of),2016,Chronic obstructive pulmonary disease,14552
Iraq,2016,Malignant neoplasms,21151
Iraq,2016,Diabetes mellitus,7279
Iraq,2016,Cardiovascular diseases,51593
Iraq,2016,Chronic obstructive pulmonary disease,3569
Ireland,2016,Malignant neoplasms,9169
Ireland,2016,Diabetes mellitus,572
Ireland,2016,Cardiovascular diseases,8745
Ireland,2016,Chronic obstructive pulmonary disease,2735
Israel,2016,Malignant neoplasms,12135
Israel,2016,Diabetes mellitus,2676
Israel,2016,Cardiovascular diseases,10565
Israel,2016,Chronic obstructive pulmonary disease,2804
Italy,2016,Malignant neoplasms,173529
Italy,2016,Diabetes mellitus,22112
Italy,2016,Cardiovascular diseases,229802
Italy,2016,Chronic obstructive pulmonary disease,41311
Jamaica,2016,Malignant neoplasms,3910
Jamaica,2016,Diabetes mellitus,2340
Jamaica,2016,Cardiovascular diseases,5866
Jamaica,2016,Chronic obstructive pulmonary disease,639
Japan,2016,Malignant neoplasms,399687
Japan,2016,Diabetes mellitus,14446
Japan,2016,Cardiovascular diseases,358702
Japan,2016,Chronic obstructive pulmonary disease,115041
Jordan,2016,Malignant neoplasms,4446
Jordan,2016,Diabetes mellitus,2347
Jordan,2016,Cardiovascular diseases,13384
Jordan,2016,Chronic obstructive pulmonary disease,1042
Kazakhstan,2016,Malignant neoplasms,25981
Kazakhstan,2016,Diabetes mellitus,1334
Kazakhstan,2016,Cardiovascular diseases,73860
Kazakhstan,2016,Chronic obstructive pulmonary disease,6614
Kenya,2016,Malignant neoplasms,27375
Kenya,2016,Diabetes mellitus,2288
Kenya,2016,Cardiovascular diseases,21473
Kenya,2016,Chronic obstructive pulmonary disease,3432
Kiribati,2016,Malignant neoplasms,75
Kiribati,2016,Diabetes mellitus,82
Kiribati,2016,Cardiovascular diseases,184
Kiribati,2016,Chronic obstructive pulmonary disease,49
Kuwait,2016,Malignant neoplasms,1682
Kuwait,2016,Diabetes mellitus,326
Kuwait,2016,Cardiovascular diseases,4552
Kuwait,2016,Chronic obstructive pulmonary disease,312
Kyrgyzstan,2016,Malignant neoplasms,3938
Kyrgyzstan,2016,Diabetes mellitus,428
Kyrgyzstan,2016,Cardiovascular diseases,19277
Kyrgyzstan,2016,Chronic obstructive pulmonary disease,1509
Lao People's Democratic Republic,2016,Malignant neoplasms,5469
Lao People's Democratic Republic,2016,Diabetes mellitus,1696
Lao People's Democratic Republic,2016,Cardiovascular diseases,12748
Lao People's Democratic Republic,2016,Chronic obstructive pulmonary disease,2463
Latvia,2016,Malignant neoplasms,5939
Latvia,2016,Diabetes mellitus,494
Latvia,2016,Cardiovascular diseases,15901
Latvia,2016,Chronic obstructive pulmonary disease,421
Lebanon,2016,Malignant neoplasms,6101
Lebanon,2016,Diabetes mellitus,1886
Lebanon,2016,Cardiovascular diseases,17814
Lebanon,2016,Chronic obstructive pulmonary disease,1574
Lesotho,2016,Malignant neoplasms,1277
Lesotho,2016,Diabetes mellitus,1212
Lesotho,2016,Cardiovascular diseases,4057
Lesotho,2016,Chronic obstructive pulmonary disease,1103
Liberia,2016,Malignant neoplasms,1874
Liberia,2016,Diabetes mellitus,606
Liberia,2016,Cardiovascular diseases,4745
Liberia,2016,Chronic obstructive pulmonary disease,528
Libya,2016,Malignant neoplasms,4039
Libya,2016,Diabetes mellitus,1292
Libya,2016,Cardiovascular diseases,11638
Libya,2016,Chronic obstructive pulmonary disease,1132
Lithuania,2016,Malignant neoplasms,8186
Lithuania,2016,Diabetes mellitus,307
Lithuania,2016,Cardiovascular diseases,23167
Lithuania,2016,Chronic obstructive pulmonary disease,699
Luxembourg,2016,Malignant neoplasms,1137
Luxembourg,2016,Diabetes mellitus,89
Luxembourg,2016,Cardiovascular diseases,1190
Luxembourg,2016,Chronic obstructive pulmonary disease,267
Madagascar,2016,Malignant neoplasms,14977
Madagascar,2016,Diabetes mellitus,2174
Madagascar,2016,Cardiovascular diseases,31096
Madagascar,2016,Chronic obstructive pulmonary disease,5953
Malawi,2016,Malignant neoplasms,12316
Malawi,2016,Diabetes mellitus,1448
Malawi,2016,Cardiovascular diseases,12397
Malawi,2016,Chronic obstructive pulmonary disease,1876
Malaysia,2016,Malignant neoplasms,24490
Malaysia,2016,Diabetes mellitus,4635
Malaysia,2016,Cardiovascular diseases,53977
Malaysia,2016,Chronic obstructive pulmonary disease,6300
Maldives,2016,Malignant neoplasms,220
Maldives,2016,Diabetes mellitus,42
Maldives,2016,Cardiovascular diseases,460
Maldives,2016,Chronic obstructive pulmonary disease,113
Mali,2016,Malignant neoplasms,7765
Mali,2016,Diabetes mellitus,2438
Mali,2016,Cardiovascular diseases,21979
Mali,2016,Chronic obstructive pulmonary disease,5405
Malta,2016,Malignant neoplasms,949
Malta,2016,Diabetes mellitus,145
Malta,2016,Cardiovascular diseases,1336
Malta,2016,Chronic obstructive pulmonary disease,197
Mauritania,2016,Malignant neoplasms,1581
Mauritania,2016,Diabetes mellitus,569
Mauritania,2016,Cardiovascular diseases,5152
Mauritania,2016,Chronic obstructive pulmonary disease,652
Mauritius,2016,Malignant neoplasms,1227
Mauritius,2016,Diabetes mellitus,2372
Mauritius,2016,Cardiovascular diseases,3336
Mauritius,2016,Chronic obstructive pulmonary disease,887
Mexico,2016,Malignant neoplasms,80054
Mexico,2016,Diabetes mellitus,99623
Mexico,2016,Cardiovascular diseases,159256
Mexico,2016,Chronic obstructive pulmonary disease,36494
Micronesia (Federated States of),2016,Malignant neoplasms,75
Micronesia (Federated States of),2016,Diabetes mellitus,60
Micronesia (Federated States of),2016,Cardiovascular diseases,208
Micronesia (Federated States of),2016,Chronic obstructive pulmonary disease,39
Mongolia,2016,Malignant neoplasms,3993
Mongolia,2016,Diabetes mellitus,95
Mongolia,2016,Cardiovascular diseases,7497
Mongolia,2016,Chronic obstructive pulmonary disease,335
Montenegro,2016,Malignant neoplasms,1421
Montenegro,2016,Diabetes mellitus,160
Montenegro,2016,Cardiovascular diseases,3786
Montenegro,2016,Chronic obstructive pulmonary disease,186
Morocco,2016,Malignant neoplasms,25995
Morocco,2016,Diabetes mellitus,10645
Morocco,2016,Cardiovascular diseases,69457
Morocco,2016,Chronic obstructive pulmonary disease,6441
Mozambique,2016,Malignant neoplasms,20781
Mozambique,2016,Diabetes mellitus,2704
Mozambique,2016,Cardiovascular diseases,23748
Mozambique,2016,Chronic obstructive pulmonary disease,2915
Myanmar,2016,Malignant neoplasms,53965
Myanmar,2016,Diabetes mellitus,16882
Myanmar,2016,Cardiovascular diseases,108199
Myanmar,2016,Chronic obstructive pulmonary disease,35749
Namibia,2016,Malignant neoplasms,992
Namibia,2016,Diabetes mellitus,831
Namibia,2016,Cardiovascular diseases,3283
Namibia,2016,Chronic obstructive pulmonary disease,726
Nepal,2016,Malignant neoplasms,17049
Nepal,2016,Diabetes mellitus,6555
Nepal,2016,Cardiovascular diseases,55127
Nepal,2016,Chronic obstructive pulmonary disease,18952
Netherlands,2016,Malignant neoplasms,47314
Netherlands,2016,Diabetes mellitus,3030
Netherlands,2016,Cardiovascular diseases,38132
Netherlands,2016,Chronic obstructive pulmonary disease,10843
New Zealand,2016,Malignant neoplasms,9081
New Zealand,2016,Diabetes mellitus,880
New Zealand,2016,Cardiovascular diseases,9477
New Zealand,2016,Chronic obstructive pulmonary disease,2209
Nicaragua,2016,Malignant neoplasms,4122
Nicaragua,2016,Diabetes mellitus,1639
Nicaragua,2016,Cardiovascular diseases,7174
Nicaragua,2016,Chronic obstructive pulmonary disease,1041
Niger,2016,Malignant neoplasms,5569
Niger,2016,Diabetes mellitus,2548
Niger,2016,Cardiovascular diseases,22350
Niger,2016,Chronic obstructive pulmonary disease,3767
Nigeria,2016,Malignant neoplasms,81551
Nigeria,2016,Diabetes mellitus,25811
Nigeria,2016,Cardiovascular diseases,225602
Nigeria,2016,Chronic obstructive pulmonary disease,32984
Norway,2016,Malignant neoplasms,11368
Norway,2016,Diabetes mellitus,681
Norway,2016,Cardiovascular diseases,11616
Norway,2016,Chronic obstructive pulmonary disease,3136
Oman,2016,Malignant neoplasms,1270
Oman,2016,Diabetes mellitus,903
Oman,2016,Cardiovascular diseases,4047
Oman,2016,Chronic obstructive pulmonary disease,174
Pakistan,2016,Malignant neoplasms,117145
Pakistan,2016,Diabetes mellitus,44666
Pakistan,2016,Cardiovascular diseases,411569
Pakistan,2016,Chronic obstructive pulmonary disease,71484
Panama,2016,Malignant neoplasms,3516
Panama,2016,Diabetes mellitus,1428
Panama,2016,Cardiovascular diseases,5532
Panama,2016,Chronic obstructive pulmonary disease,1303
Papua New Guinea,2016,Malignant neoplasms,6793
Papua New Guinea,2016,Diabetes mellitus,2373
Papua New Guinea,2016,Cardiovascular diseases,13264
Papua New Guinea,2016,Chronic obstructive pulmonary disease,3164
Paraguay,2016,Malignant neoplasms,5779
Paraguay,2016,Diabetes mellitus,2414
Paraguay,2016,Cardiovascular diseases,10521
Paraguay,2016,Chronic obstructive pulmonary disease,1170
Peru,2016,Malignant neoplasms,28549
Peru,2016,Diabetes mellitus,6062
Peru,2016,Cardiovascular diseases,35815
Peru,2016,Chronic obstructive pulmonary disease,9700
Philippines,2016,Malignant neoplasms,65916
Philippines,2016,Diabetes mellitus,25528
Philippines,2016,Cardiovascular diseases,233190
Philippines,2016,Chronic obstructive pulmonary disease,42243
Poland,2016,Malignant neoplasms,106886
Poland,2016,Diabetes mellitus,8721
Poland,2016,Cardiovascular diseases,181988
Poland,2016,Chronic obstructive pulmonary disease,17892
Portugal,2016,Malignant neoplasms,28172
Portugal,2016,Diabetes mellitus,4715
Portugal,2016,Cardiovascular diseases,31045
Portugal,2016,Chronic obstructive pulmonary disease,7155
Qatar,2016,Malignant neoplasms,640
Qatar,2016,Diabetes mellitus,359
Qatar,2016,Cardiovascular diseases,1054
Qatar,2016,Chronic obstructive pulmonary disease,55
Republic of Korea,2016,Malignant neoplasms,84573
Republic of Korea,2016,Diabetes mellitus,11986
Republic of Korea,2016,Cardiovascular diseases,63568
Republic of Korea,2016,Chronic obstructive pulmonary disease,16740
Republic of Moldova,2016,Malignant neoplasms,7119
Republic of Moldova,2016,Diabetes mellitus,475
Republic of Moldova,2016,Cardiovascular diseases,27384
Republic of Moldova,2016,Chronic obstructive pulmonary disease,1007
North Macedonia,2016,Malignant neoplasms,3989
North Macedonia,2016,Diabetes mellitus,927
North Macedonia,2016,Cardiovascular diseases,12234
North Macedonia,2016,Chronic obstructive pulmonary disease,911
Romania,2016,Malignant neoplasms,52259
Romania,2016,Diabetes mellitus,2705
Romania,2016,Cardiovascular diseases,145284
Romania,2016,Chronic obstructive pulmonary disease,9349
Russian Federation,2016,Malignant neoplasms,359090
Russian Federation,2016,Diabetes mellitus,9812
Russian Federation,2016,Cardiovascular diseases,1022790
Russian Federation,2016,Chronic obstructive pulmonary disease,33346
Rwanda,2016,Malignant neoplasms,8529
Rwanda,2016,Diabetes mellitus,1435
Rwanda,2016,Cardiovascular diseases,9139
Rwanda,2016,Chronic obstructive pulmonary disease,1721
Saint Lucia,2016,Malignant neoplasms,256
Saint Lucia,2016,Diabetes mellitus,116
Saint Lucia,2016,Cardiovascular diseases,442
Saint Lucia,2016,Chronic obstructive pulmonary disease,65
Saint Vincent and the Grenadines,2016,Malignant neoplasms,166
Saint Vincent and the Grenadines,2016,Diabetes mellitus,96
Saint Vincent and the Grenadines,2016,Cardiovascular diseases,318
Saint Vincent and the Grenadines,2016,Chronic obstructive pulmonary disease,29
Samoa,2016,Malignant neoplasms,144
Samoa,2016,Diabetes mellitus,82
Samoa,2016,Cardiovascular diseases,322
Samoa,2016,Chronic obstructive pulmonary disease,52
Sao Tome and Principe,2016,Malignant neoplasms,111
Sao Tome and Principe,2016,Diabetes mellitus,13
Sao Tome and Principe,2016,Cardiovascular diseases,209
Sao Tome and Principe,2016,Chronic obstructive pulmonary disease,76
Saudi Arabia,2016,Malignant neoplasms,10845
Saudi Arabia,2016,Diabetes mellitus,3737
Saudi Arabia,2016,Cardiovascular diseases,42440
Saudi Arabia,2016,Chronic obstructive pulmonary disease,3031
Senegal,2016,Malignant neoplasms,5880
Senegal,2016,Diabetes mellitus,2167
Senegal,2016,Cardiovascular diseases,16236
Senegal,2016,Chronic obstructive pulmonary disease,2736
Serbia,2016,Malignant neoplasms,23521
Serbia,2016,Diabetes mellitus,3063
Serbia,2016,Cardiovascular diseases,57465
Serbia,2016,Chronic obstructive pulmonary disease,5514
Seychelles,2016,Malignant neoplasms,143
Seychelles,2016,Diabetes mellitus,21
Seychelles,2016,Cardiovascular diseases,265
Seychelles,2016,Chronic obstructive pulmonary disease,30
Sierra Leone,2016,Malignant neoplasms,2512
Sierra Leone,2016,Diabetes mellitus,1433
Sierra Leone,2016,Cardiovascular diseases,12714
Sierra Leone,2016,Chronic obstructive pulmonary disease,1918
Singapore,2016,Malignant neoplasms,8435
Singapore,2016,Diabetes mellitus,400
Singapore,2016,Cardiovascular diseases,8184
Singapore,2016,Chronic obstructive pulmonary disease,865
Slovakia,2016,Malignant neoplasms,14672
Slovakia,2016,Diabetes mellitus,944
Slovakia,2016,Cardiovascular diseases,20548
